r-1 Loss Function	0-1损失函数
Dual Problem	对偶问题
Dummy Node	哑结点
Dying ReLU Problem	死亡ReLU问题
Dynamic Bayesian Network	动态贝叶斯网络
Dynamic Computational Graph	动态计算图
Dynamic Fusion	动态融合
Dynamic Programming	动态规划
Dynamic Structure	动态结构
Dynamical System	动力系统
Eager Learning	急切学习
Early Stopping	早停
Earth-Mover's Distance	推土机距离
Echo State Network	回声状态网络
Edge	边
Edge Device	边缘设备
Effective Capacity	有效容量
Eigendecomposition	特征分解
Eigenvalue	特征值
Eigenvalue Decomposition	特征值分解
Elastic Net Regularization	弹性网络正则化
Elastic Weight Consolidation	弹性权重巩固
Element-Wise Product	逐元素积
Elementary Basis Vectors	基本单位向量
Ellipsoid Method	椭球法
Embedding	嵌入
Embedding Lookup Table	嵌入表
Emotional Analysis	情绪分析
Empirical Conditional Entropy	经验条件熵
Empirical Distribution	经验分布
Empirical Entropy	经验熵
Empirical Error	经验误差
Empirical Frequency	经验频率
Empirical Loss	经验损失
Empirical Risk	经验风险
Empirical Risk Minimization	经验风险最小化
Encoder	编码器
Encoder-Decoder	编码器-解码器（模型）
Encoding	编码
End-To-End	端到端
End-To-End Learning	端到端学习
End-To-End Memory Network	端到端记忆网络
Energy Function	能量函数
Energy Gap	能量差异
Energy-Based Model	基于能量的模型
Ensemble	集成
Ensemble Learning	集成学习
Ensemble Pruning	集成修剪
Entropy	熵
Entropy Encoding	熵编码
Environment	环境
Episode	回合
Episodic Task	回合式任务
Epoch	轮
Equal-Width Convolution	等宽卷积
Equality Constraint	等式约束
Equilibrium Distribution	均衡分布
Equivariance	等变
Equivariant Representations	等变表示
Error	误差
Error Backpropagation Algorithm	误差反向传播算法
Error Backpropagation	误差反向传播
Error Bar	误差条
Error Correcting Output Codes	纠错输出编码
Error Function	误差函数
Error Metric	误差度量
Error Rate	错误率
Error-Ambiguity Decomposition	误差－分歧分解
Estimation Error	估计误差
Estimation Of Mathematical Expectation	数学期望估计
Estimator	估计/估计量
Euclidean Distance	欧氏距离
Euclidean Norm	欧几里得范数
Euclidean Space	欧氏空间
Euler-Lagrange Equation	欧拉-拉格朗日方程
Evaluation Criterion	评价准则
Evidence	证据
Evidence Lower Bound	证据下界
Evolution	演化
Evolutionary Computation	演化计算
Exact	确切的
Exact Inference	精确推断
Example	样例
Excess Error	额外误差
Exchangeable	可交换的
Expectation	期望
Expectation Maximization Algorithm	期望极大算法
Expectation Maximization	期望最大化
Expectation Step	E步
Expected Error	期望错误
Expected Loss	期望损失
Expected Return	期望回报
Expected Risk	期望风险
Expected Value	期望值
Experience	经验
Experience Replay	经验回放
Expert Network	专家网络
Expert System	专家系统
Explaining Away	相消解释
Explaining Away Effect	相消解释作用
Explanatory Factort	解释因子
Explicit Density Model	显式密度模型
Exploding Gradient	梯度爆炸
Exploitation	利用
Exploration	探索
Exploration-Exploitation Dilemma	探索-利用窘境
Exponential Decay	指数衰减
Exponential Distribution	指数分布
Exponential Linear Unit	指数线性单元
Exponential Loss	指数损失
Exponential Loss Function	指数损失函数
Exponentially Weighted Moving Average	指数加权移动平均
Exposure Bias	曝光偏差
External Memory	外部记忆
Extreme Learning Machine	超限学习机
F Measure	F值
F-Score	F分数
Factor	因子
Factor Analysis	因子分析
Factor Graph	因子图
Factor Loading	因子负荷量
Factorization	因子分解
Factorized	分解的
Factors of Variation	变差因素
False Negative	假负例
False Positive	假正例
False Positive Rate	假正例率
Fast Dropout	快速暂退法
Fast Persistent Contrastive Divergence	快速持续性对比散度
Fault-Tolerant Asynchronous Training	容错异步训练
Feasible	可行
Feature	特征
Feature Engineering	特征工程
Feature Extraction	特征抽取
Feature Extractor	特征提取器
Feature Function	特征函数
Feature Map	特征图
Feature Scaling Transform	特征尺度变换
Feature Selection	特征选择
Feature Space	特征空间
Feature Vector	特征向量
Featured Learning	特征学习
Feedback	反馈
Feedforward	前馈
Feedforward Classifier	前馈分类器
Feedforward Network	前馈网络
Feedforward Neural Network	前馈神经网络
Few-Shot Learning	少试学习
Fidelity	逼真度
Field Programmable Gated Array	现场可编程门阵列
Filter	滤波器
Filter Method	过滤式方法
Fine-Tuning	微调
Finite Difference	有限差分
First Layer	第一层
First-Order Method	一阶方法
First-Order Rule	一阶规则
Fisher Information Matrix	Fisher信息矩阵
Fixed Point Equation	不动点方程
Fixed-Point Arithmetic	不动点运算
Flat Minima	平坦最小值
Flip	翻转
Flipping Output	翻转法
Float-Point Arithmetic	浮点运算
Fluctuation	振荡
Focus Attention	聚焦式注意力
Folk Theorem	无名氏定理
Forget Gate	遗忘门
Forward	前向
Forward KL Divergence	前向KL散度
Forward Mode Accumulation	前向模式累加
Forward Propagation	前向传播/正向传播
Forward Search	前向搜索
Forward Stagewise Algorithm	前向分步算法
Forward-Backward Algorithm	前向-后向算法
Fourier Transform	傅立叶变换
Fovea	中央凹
Fractionally Strided Convolution	微步卷积
Free Energy	自由能
Frequentist	频率主义学派
Frequentist Probability	频率派概率
Frequentist Statistics	频率派统计
Frobenius Norm	Frobenius 范数
Full	全
Full Conditional Distribution	满条件分布
Full Conditional Probability	全条件概率
Full Padding	全填充
Full Singular Value Decomposition	完全奇异值分解
Full-Rank Matrix	满秩矩阵
Fully Connected Layer	全连接层
Fully Connected Neural Network	全连接神经网络
Fully Convolutional Network	全卷积网络
Function	函数
Functional	泛函
Functional Derivative	泛函导数
Functional Margin	函数间隔
Functional Neuron	功能神经元
Gabor Function	Gabor函数
Gain Ratio	増益率
Game Payoff	博弈效用
Game Theory	博弈论
Gamma Distribution	Gamma分布
Gate	门
Gate Controlled RNN	门控循环神经网络
Gated	门控
Gated Control	门控
Gated Recurrent Net	门控循环网络
Gated Recurrent Unit	门控循环单元
Gated RNN	门控RNN
Gater	选通器
Gating Mechanism	门控机制
Gaussian Distribution	高斯分布
Gaussian Error Linear Unit	高斯误差线性单元
Gaussian Kernel	高斯核
Gaussian Kernel Function	高斯核函数
Gaussian Mixture Model	高斯混合模型
Gaussian Mixtures	高斯混合（模型）
Gaussian Output Distribution	高斯输出分布
Gaussian Process	高斯过程
Gaussian Process Regression	高斯过程回归
Gaussian RBM	高斯RBM
Gaussian-Bernoulli RBM	高斯-伯努利RBM
General Problem Solving	通用问题求解
General Purpose GPU	通用GPU
Generalization Ability	泛化能力
Generalization Error	泛化误差
Generalization Error Bound	泛化误差上界
Generalize	泛化
Generalized Bregman Divergence	一般化 Bregman 散度
Generalized Expectation Maximization	广义期望极大
Generalized Function	广义函数
Generalized Lagrange Function	广义拉格朗日函数
Generalized Lagrangian	广义拉格朗日
Generalized Linear Model	广义线性模型
Generalized Pseudolikelihood	广义伪似然
Generalized Pseudolikelihood Estimator	广义伪似然估计
Generalized Rayleigh Quotient	广义瑞利商
Generalized Score Matching	广义得分匹配
Generative Adversarial Framework	生成式对抗框架
Generative Adversarial Network	生成对抗网络
Generative Approach	生成方法
Generative Model	生成式模型
Generative Modeling	生成式建模
Generative Moment Matching Network	生成矩匹配网络
Generative Pre-Training	生成式预训练
Generative Stochastic Network	生成随机网络
Generative Weight	生成权重
Generator	生成器
Generator Network	生成器网络
Genetic Algorithm	遗传算法
Geometric Margin	几何间隔
Giant Magnetoresistance	巨磁阻
Gibbs Distribution	吉布斯分布
Gibbs Sampling	吉布斯采样/吉布斯抽样
Gibbs Steps	吉布斯步数
Gini Index	基尼指数
Global Contrast Normalization	全局对比度规范化
Global Markov Property	全局马尔可夫性
Global Minima	全局极小值
Global Minimizer	全局极小解
Global Minimum	全局最小
Global Optimization	全局优化
Gradient	梯度
Gradient Ascent	梯度上升
Gradient Ascent Method	梯度上升法
Gradient Boosting	梯度提升
Gradient Boosting Tree	梯度提升树
Gradient Clipping	梯度截断
Gradient Descent	梯度下降
Gradient Descent In One-Dimensional Space	一维梯度下降
Gradient Descent Method	梯度下降法
Gradient Energy Distribution	梯度能量分布
Gradient Estimation	梯度估计
Gradient Exploding Problem	梯度爆炸问题
Gradient Field	梯度场
Gradual Warmup	逐渐预热
Gram Matrix	Gram 矩阵
Graph	图
Graph Analytics	图分析
Graph Attention Network	图注意力网络
Graph Convolutional Network	图卷积神经网络/图卷积网络
Graph Neural Network	图神经网络
Graph Theory	图论
Graphical Model	图模型
Graphics Processing Unit	图形处理器
Greedy	贪心
Greedy Algorithm	贪心算法
Greedy Layer-Wise Pretraining	贪心逐层预训练
Greedy Layer-Wise Training	贪心逐层训练
Greedy Layer-Wise Unsupervised Pretraining	贪心逐层无监督预训练
Greedy Search	贪心搜索
Greedy Supervised Pretraining	贪心监督预训练
Greedy Unsupervised Pretraining	贪心无监督预训练
Grid Search	网格搜索
Grid World	网格世界
Ground Truth	真实值
Growth Function	增长函数
Hadamard Product	Hadamard积
Hamming Distance	汉明距离
Hard Attention	硬性注意力
Hard Clustering	硬聚类
Hard Margin	硬间隔
Hard Margin Maximization	硬间隔最大化
Hard Mixture Of Experts	硬专家混合体
Hard Tanh	硬双曲正切函数
Hard Target	硬目标
Hard Voting	硬投票
Harmonic Mean	调和平均
Harmonium	簧风琴
Harmony	Harmony
Harris Chain	哈里斯链
Hausdorff Distance	豪斯多夫距离
Hebbian Rule	赫布法则
Hebbian Theory	赫布理论
Helmholtz Machine	Helmholtz机
Hesse Matrix	海赛矩阵
Hessian	Hessian
Hessian Matrix	黑塞矩阵
Heterogeneous Information Network	异质信息网络
Heteroscedastic	异方差
Hidden Dynamic Model	隐动态模型
Hidden Layer	隐藏层
Hidden Markov Model	隐马尔可夫模型
Hidden State	隐状态
Hidden Unit	隐藏单元
Hidden Variable	隐变量
Hierarchical Clustering	层次聚类
Hierarchical Reinforcement Learning	分层强化学习
Hierarchical Softmax	层序Softmax/层序软最大化
Hilbert Space	希尔伯特空间
Hill Climbing	爬山
Hinge Loss Function	合页损失函数/Hinge损失函数
Histogram Method	直方图方法
Hold-Out	留出法
Homogeneous	同质
Hopfield Network	Hopfield网络
Huffman Coding	霍夫曼编码
Hybrid Computing	混合计算
Hyperbolic Tangent Function	双曲正切函数
Hyperparameter	超参数
Hyperparameter Optimization	超参数优化
Hyperplane	超平面
Hypothesis	假设
Hypothesis Space	假设空间
Hypothesis Test	假设检验
I.I.D. Assumption	独立同分布假设
Identically Distributed	同分布的
Identifiable	可辨认的
Identity Function	恒等函数
Identity Mapping	恒等映射
Identity Matrix	单位矩阵
Ill Conditioning	病态
Ill-Formed Problem	病态问题
Image	图像
Image Restoration	图像还原
Imitation Learning	模仿学习
Immorality	不道德
Imperfect Information	不完美信息
Implicit Density Model	隐式密度模型
Import	导入
Importance Sampling	重要性采样
Improved Iterative Scaling	改进的迭代尺度法
Incomplete-Data	不完全数据
Incremental Learning	增量学习
Indefinite Integral	不定积分
Independence	独立
Independent	相互独立的
Independent and Identically Distributed	独立同分布
Independent Component Analysis	独立成分分析
Independent Subspace Analysis	独立子空间分析
Index of Matrix	索引
Indicator Function	指示函数
Individual Learner	个体学习器
Induction	归纳
Inductive Bias	归纳偏好
Inductive Learning	归纳学习
Inductive Logic Programming	归纳逻辑程序设计
Inductive Transfer Learning	归纳迁移学习
Inequality Constraint	不等式约束
Inference	推断
Infinite	无限
Infinitely Exchangeable	无限可交换
Information Divergence	信息散度
Information Entropy	信息熵
Information Gain	信息增益
Information Gain Ratio	信息增益比
Information Retrieval	信息检索
Information Theory	信息论
Inner Product	内积
Input	输入
Input Distribution	输入分布
Input Gate	输入门
Input Layer	输入层
Input Space	输入空间
Insensitive Loss	不敏感损失
Instance	示例
Instance Segmentation	实例分割
Integer Linear Programming	整数线性规划
Integer Programming	整数规划
Integration	积分
Inter-Cluster Similarity	簇间相似度
Internal Covariate Shift	内部协变量偏移
Internal Node	内部结点
International Conference For Machine Learning	国际机器学习大会
Intervention Query	干预查询
Intra-Attention	内部注意力
Intra-Cluster Similarity	簇内相似度
Intrinsic Value	固有值
Invariance	不变性
Invariant	不变
Inverse Matrix	逆矩阵
Inverse Reinforcement Learning	逆强化学习
Inverse Resolution	逆归结
Inverse Time Decay	逆时衰减
Invert	求逆
Irreducible	不可约的
Irrelevant Feature	无关特征
Isometric Mapping	等度量映射
Isotonic Regression	等分回归
Isotropic	各向同性
Isotropic Gaussian Distribution	各向同性高斯分布
Iteration	迭代
Iterative Dichotomiser	迭代二分器
Jacobian	雅克比
Jacobian Matrix	雅可比矩阵
Jensen Inequality	Jensen不等式
Jensen-Shannon Divergence	JS散度
Joint Probability Density Function	联合概率密度函数
Joint Probability Distribution	联合概率分布
Junction Tree Algorithm	联合树算法
K-Armed Bandit Problem	k-摇臂老虎机
K-Fold Cross Validation	k 折交叉验证
K-Means Clustering	k-均值聚类
K-Nearest Neighbor Classifier	k-近邻分类器
K-Nearest Neighbor Method	k-近邻
Karush-Kuhn-Tucker Condition	KKT条件
Karush–Kuhn–Tucker	Karush–Kuhn–Tucker
Kd Tree	Kd 树
Kernel Density Estimation	核密度估计
Kernel Function	核函数
Kernel Machine	核机器
Kernel Matrix	核矩阵
Kernel Method	核方法
Kernel Regression	核回归
Kernel Trick	核技巧
Kernelized	核化
Kernelized Linear Discriminant Analysis	核线性判别分析
Kernelized PCA	核主成分分析
Key-Value Store	键-值数据库
KL Divergence	KL散度
Knowledge	知识
Knowledge Base	知识库
Knowledge Distillation	知识蒸馏
Knowledge Engineering	知识工程
Knowledge Graph	知识图谱
Knowledge Representation	知识表征
Kronecker Product	Kronecker积
Krylov Method	Krylov方法
L-BFGS	L-BFGS
Label	标签/标记
Label Propagation	标记传播
Label Smoothing	标签平滑
Label Space	标记空间
Labeled	标注
Lagrange Dual Problem	拉格朗日对偶问题
Lagrange Duality	拉格朗日对偶性
Lagrange Function	拉格朗日函数
